70207,5,14041,40
144173,5,28834,40
282364,5,56472,40
856229,5,171246,40
1059405,5,211881,40
70449,5,14089,40
143560,5,28712,40
282168,5,56433,40
855438,5,171088,40
1068250,5,213650,40
70255,5,14051,40
143491,5,28698,40
281932,5,56386,40
853051,5,170610,40
1048700,5,209740,40
70215,5,14043,40
143476,5,28695,40
280201,5,56040,40
844734,5,168947,40
1072976,5,214595,40
70703,5,14140,40
144302,5,28860,40
282502,5,56500,40
854613,5,170923,40
1072663,5,214533,40
67499,5,13499,41
137295,5,27459,41
294179,5,58835,41
818469,5,163694,41
1026681,5,205336,41
67211,5,13442,41
136873,5,27374,41
293074,5,58614,41
818452,5,163690,41
1023061,5,204612,41
67265,5,13453,41
137057,5,27411,41
293560,5,58712,41
818104,5,163621,41
1023484,5,204697,41
67022,5,13404,41
137076,5,27415,41
294108,5,58821,41
817912,5,163582,41
1021971,5,204394,41
66997,5,13399,41
137500,5,27500,41
293614,5,58722,41
819181,5,163836,41
1025756,5,205151,41
64204,5,12840,42
130713,5,26142,42
280226,5,56045,42
784433,5,156887,42
980012,5,196002,42
64314,5,12862,42
130904,5,26180,42
280326,5,56065,42
782328,5,156466,42
976039,5,195208,42
63935,5,12787,42
130342,5,26068,42
279377,5,55875,42
781805,5,156361,42
979853,5,195971,42
64110,5,12822,42
130752,5,26150,42
279430,5,55886,42
782087,5,156417,42
977360,5,195472,42
64077,5,12815,42
130793,5,26158,42
280374,5,56074,42
783717,5,156743,42
977087,5,195417,42
61359,5,12271,43
125121,5,25024,43
267614,5,53522,43
749489,5,149898,43
937714,5,187543,43
61449,5,12289,43
124485,5,24897,43
267732,5,53546,43
747382,5,149476,43
925959,5,185192,43
61252,5,12250,43
124535,5,24907,43
266775,5,53355,43
747647,5,149529,43
939498,5,187900,43
61180,5,12236,43
124946,5,24989,43
266838,5,53367,43
748165,5,149633,43
938115,5,187623,43
61474,5,12294,43
124553,5,24910,43
267107,5,53421,43
745969,5,149194,43
933575,5,186715,43
58411,5,11682,44
118818,5,23763,44
254566,5,50913,44
715118,5,143024,44
898075,5,179615,44
58387,5,11677,44
117572,5,23514,44
253604,5,50720,44
718031,5,143606,44
902409,5,180482,44
58674,5,11734,44
117905,5,23581,44
254159,5,50831,44
717320,5,143464,44
901280,5,180256,44
58704,5,11740,44
119582,5,23916,44
255490,5,51098,44
714058,5,142812,44
899087,5,179817,44
58518,5,11703,44
119118,5,23823,44
255869,5,51173,44
717669,5,143534,44
898601,5,179720,44
55623,5,11124,45
113246,5,22649,45
244131,5,48826,45
687273,5,137455,45
862367,5,172473,45
55760,5,11152,45
113909,5,22781,45
244319,5,48863,45
687945,5,137589,45
860886,5,172177,45
55365,5,11073,45
108020,5,21604,45
243606,5,48721,45
686443,5,137289,45
858627,5,171725,45
55750,5,11150,45
113229,5,22645,45
241957,5,48391,45
658094,5,131619,45
854838,5,170968,45
55013,5,11002,45
111052,5,22210,45
240379,5,48075,45
684669,5,136934,45
855104,5,171021,45
53403,5,10680,46
108785,5,21757,46
233121,5,46624,46
651779,5,130356,46
817025,5,163405,46
53496,5,10699,46
108986,5,21797,46
233126,5,46625,46
642673,5,128535,46
820507,5,164101,46
53135,5,10627,46
109113,5,21822,46
233976,5,46795,46
658637,5,131727,46
824065,5,164813,46
53579,5,10715,46
109049,5,21809,46
233414,5,46682,46
658494,5,131699,46
825900,5,165180,46
53338,5,10667,46
109048,5,21809,46
233818,5,46763,46
658015,5,131603,46
819423,5,163885,46
50843,5,10168,47
103646,5,20729,47
222979,5,44595,47
631875,5,126375,47
787819,5,157564,47
50964,5,10192,47
104227,5,20845,47
223729,5,44745,47
628469,5,125694,47
781695,5,156339,47
49909,5,9981,47
103252,5,20650,47
222432,5,44486,47
630166,5,126033,47
790298,5,158060,47
51101,5,10220,47
104428,5,20885,47
222109,5,44421,47
600227,5,120045,47
704803,5,140961,47
47705,5,9541,47
103157,5,20631,47
220126,5,44025,47
626722,5,125344,47
774289,5,154858,47
48883,5,9776,48
98528,5,19705,48
212336,5,42467,48
599078,5,119816,48
759528,5,151906,48
48396,5,9679,48
97351,5,19470,48
210150,5,42030,48
600067,5,120013,48
761156,5,152231,48
48705,5,9741,48
100233,5,20046,48
214568,5,42913,48
605393,5,121079,48
760500,5,152100,48
49080,5,9816,48
99844,5,19968,48
213870,5,42774,48
604602,5,120920,48
758451,5,151690,48
48992,5,9798,48
99826,5,19965,48
214069,5,42813,48
604545,5,120909,48
759950,5,151990,48
47101,5,9420,49
95967,5,19193,49
206291,5,41258,49
582463,5,116493,49
732449,5,146490,49
47284,5,9456,49
95991,5,19198,49
206619,5,41323,49
581874,5,116375,49
724551,5,144910,49
47124,5,9424,49
96202,5,19240,49
204688,5,40937,49
579585,5,115917,49
729699,5,145940,49
46680,5,9336,49
95391,5,19078,49
204771,5,40954,49
579870,5,115974,49
731792,5,146358,49
47091,5,9418,49
96067,5,19213,49
206173,5,41234,49
572611,5,114522,49
730738,5,146148,49
45036,5,9007,50
92120,5,18424,50
197393,5,39478,50
558092,5,111618,50
703252,5,140650,50
45277,5,9055,50
91956,5,18391,50
197575,5,39515,50
559241,5,111848,50
703960,5,140792,50
45299,5,9059,50
92190,5,18438,50
197681,5,39536,50
558502,5,111700,50
702428,5,140486,50
45407,5,9081,50
92018,5,18403,50
197777,5,39555,50
560023,5,112005,50
702611,5,140522,50
45316,5,9063,50
92291,5,18458,50
198644,5,39728,50
560319,5,112064,50
703781,5,140756,50
